"","SRR8581315","SRR8581316","SRR8581317","SRR8581318","SRR8581319","SRR8581320"
"ENSMUSG00000067158",6.07621802374473,6.22853108739682,6.29959381475253,5.80986703569677,5.9338708898702,6.20242379907346
"ENSMUSG00000079465",6.07621802374473,6.20200583123925,6.25977239862163,6.2526364914944,6.35905331257305,6.17755347553188
"ENSMUSG00000097564",6.24766040613743,6.08793291793139,6.3929361866274,6.15414600665446,6.13257648437634,5.63132604504604
"ENSMUSG00000096950",5.61803903306863,6.08793291793139,5.97860698684937,5.98381033007062,6.10675019182333,5.98198084130302
"ENSMUSG00000056708",7.57688593883543,8.36520152785801,8.14335794625261,7.70044825789988,7.40741099535202,7.85967670640899
"ENSMUSG00000026471",7.43377335607546,7.35278583759684,7.69212502186974,7.21955225904993,7.18259209695969,7.54362286441233
"ENSMUSG00000026470",8.75702181977251,8.93820195027515,9.06070596034897,8.88365296662923,9.00322300279164,8.95176412899145
"ENSMUSG00000033722",5.8979382291084,5.75812282431263,5.92173790408369,5.91872634816759,5.83174689528705,5.98198084130302
"ENSMUSG00000026150",9.86063517235654,9.62933775930683,9.74179849031951,9.9534249410446,9.70500332239027,9.69612643770932
"ENSMUSG00000101450",5.362439305367,5.38679519557386,5.68070715659444,5.95190786715216,5.86730142482859,5.63132604504604
"ENSMUSG00000026469",9.60747721675055,9.43684511514199,9.5633475332036,9.80850850498522,9.89500433588506,9.6729873351806
"ENSMUSG00000018417",11.688168167741,11.1898624261647,11.2937489832468,11.5783862362078,11.3655104331208,11.4704190466684
"ENSMUSG00000026490",10.0121558452703,9.83986942753618,10.0936438704184,10.0985439690145,10.0280864406063,10.0579725714086
"ENSMUSG00000033701",9.46393884276248,9.75338483171592,9.4170415466415,8.97732589239022,9.03326425060175,8.94879501902562
"ENSMUSG00000062939",5.25928533968287,5.60372752250655,5.59203284013716,5.68161146098814,5.9012844418512,5.98198084130302
"ENSMUSG00000109599",6.72862281857034,7.01825651036836,6.70297558671537,6.59082754826554,6.52796799045238,6.83434562573919
"ENSMUSG00000033684",13.0541445833412,12.6423901201493,12.639702291335,13.1780460771976,13.0887536165474,12.8950746172473
"ENSMUSG00000016918",6.41325262531543,5.75812282431263,6.10623421514735,5.00918720652806,5.50944526078948,5.72576194784476
"ENSMUSG00000033671",9.67420686753749,9.36810896128062,10.0053245055923,10.1198299965939,10.0280864406063,10.0593451031437
"ENSMUSG00000026489",13.4205984592375,13.2103282492574,12.9393679900571,12.5658994072988,12.4596087073751,12.4997557933115
"ENSMUSG00000104520",6.43224455410324,6.39704600967399,6.25977239862163,5.57893775468944,5.36380450783103,5.98198084130302
"ENSMUSG00000026159",9.37588770963569,8.8607710542517,9.36541233709556,9.33976853029559,9.11978246199916,9.31639553347613
"ENSMUSG00000038496",5.362439305367,5.00918720652806,5.97860698684937,5.80986703569677,5.36380450783103,5.72576194784476
"ENSMUSG00000026466",10.2607660464036,9.92145002758423,10.0543881275743,10.2303695259094,10.2202298895573,10.3625521563172
"ENSMUSG00000102964",5.79143980833072,6.05708717801306,6.25977239862163,6.12787035007898,5.9012844418512,6.20242379907346
"ENSMUSG00000010609",12.6057030745447,12.6964412883273,12.3549892471311,11.916291814377,11.7540848043106,11.903142195524
"ENSMUSG00000038855",7.88031089020269,7.92599341649471,7.66000801749956,7.75712054837661,7.98260249424183,7.81399466970513
"ENSMUSG00000104388",6.1026962575418,6.17474188427421,5.68070715659444,5.37092697012649,5.75500649123497,5.63132604504604
"ENSMUSG00000045658",11.7995683118822,11.3276591955042,11.4178909705801,11.5125658128237,11.3439616913871,11.5324673746036
"ENSMUSG00000050565",12.2049665833203,11.8531944036942,11.9621990834475,12.247774880342,12.1054181142477,12.2917756764107
"ENSMUSG00000037035",7.47506812013035,7.35278583759684,7.20923834537172,6.68940645917293,6.74909764309945,6.2734841898636
"ENSMUSG00000005886",10.217891621332,9.81517717538522,10.3742522996786,10.697397280571,10.546110780441,10.6452487341851
"ENSMUSG00000004451",8.37068534437828,8.55310764651573,8.57844787758654,8.33879016535846,8.34964993525248,8.56978515628973
"ENSMUSG00000098447",5.66602577955278,6.02514077730372,5.82803664953146,5.88411833412336,5.9338708898702,5.72576194784476
"ENSMUSG00000098923",8.7667487601277,8.81507560616347,8.77075484646192,8.57840651151513,8.67243102341924,8.58136770884606
"ENSMUSG00000026496",10.0067184313105,9.95250684900714,9.86384000127535,9.96963936243555,9.95741239077077,10.0469449672408
"ENSMUSG00000025935",11.220804723747,11.0098111593531,10.9656164008983,11.0633633175158,10.9804514154655,11.1308208506183
"ENSMUSG00000025937",13.0587453667216,12.7103601307524,12.9647507395945,13.140655030151,13.1395045725383,12.9277253059108
"ENSMUSG00000102982",6.33373416310237,6.3516146608661,6.93719199998614,7.31903931304924,7.56197813513905,7.25657972795156
"ENSMUSG00000067813",9.41956399952164,8.71904812232474,9.11735975364806,9.00341075653006,8.98377227467797,9.19403694801962
